CUSTRECORD_EOS_DATE,CUSTRECORD_EOS_MEMO,BINNUMBER
01/22/2025 12:00:00 AM,"short 2 people, leadership team was on the floor all day supporting.  we got close to 95% attainment after adding in 2nd shift cases.",ID1
01/22/2025 12:00:00 AM,"we made 300 of the blackberry Amazon only, the other 3 pallets will be completed early morning tomorrow (6:30am -8am)  We are expecting the amazon truck on site by 9am-2pm window.",MANUAL-INDY
01/22/2025 12:00:00 AM,"we ran into 2nd shift up to 4pm we missed our target by 600 cases due to film bar kept coming off the chain, chain had to be tightened couple of times.  we took a total of 50 min of downtime cumulatively for this issues first 3 hours of the run.",IA1
01/23/2025 12:00:00 AM,"2 hours spent dekitting, insufficient staff to keep up with the line even when slowed down.  Once we ran out of WIP for WO2676, decrewed IA1 and finished out shift with full HC for ID1.  Finished at 4800/2500 cases for WO2903",ID1
01/23/2025 12:00:00 AM,99% Uptime no issues.,RP1
01/23/2025 12:00:00 AM,"After last break the date coder went down but we caught it in time. No major machine issues about 7m DT with machine issues and 44m waiting on whip. Was using one driver on line until lead was done setting up DMM for 2nd shift De Soi . After lunch lead was helping bin transfer , then i put him on the line with a total of 6hc and 1 driver. i help out on lift after last break to bin transfer.",RS1
01/23/2025 12:00:00 AM,"After the multiple Guru runs were completed on PP2, HC moved to BP2 to start on the 2nd touch.  Had some minor issues with the case erector that turned out to be some ripped cardboard stuck along the track that wasn't visible.  Took some extra time to make sure the final lot code was correct.",BP2
01/23/2025 12:00:00 AM,"BS1 - 15ppl, 1FL Down Tray Former - 16min Product fallen on conveyor - 12min Film Jam/Wrap Area Fault - 8min Pnuematic Sep. Fault - 2min Some small issues with the tray picking and film area. Cleaned around the problem areas but no adjustments made/needed as the line was running very well despite minor issues. ---------------------------------------------------------------------------------- Flight - PP2 - 12ppl, 1FL Wrap area Fault/Machine Adj. - 28 Down Tray Former/Waiting for trays - 8 Dekitting - 15 Flavor C/O 38min (5 flavors/4 C/O's Start of shift saw issues with the wrapper arm timing that prevented the film from wrapping under the leading side of the tray going into the tunnel. Ray, Jose, Rob worked to make the necessary adjustments to the wrapper belt and arm to ensure a good wrap.  Tray former jammed up for a few minutes and needed cleaning out the cardboard debris causing a delay in getting trays to the line. After the cleaning, tray former functioned normally.",BS1
01/23/2025 12:00:00 AM,Completed partial pallet of daytrip.,RS1
01/23/2025 12:00:00 AM,Down time on BD1 due to the following reasons: Configuration changeover Machine adjustments tuning drop the magazine the boxes kept dropping down off the magazine and was not picking up every cycle. All resolved by Maintenace.,BD1
01/23/2025 12:00:00 AM,Down time on BP1 due to the following reasons: Broken Part Repair replaced broken flap. Robot Fault: SV4 clamp faulted after collation.,BP1
01/23/2025 12:00:00 AM,"Down time on BS1 due to the following reasons: BS1 Adjusted suction cups they were out of position causing not trapping trays, all resolved by maintenance.  Cardboard conveyor not advising parameters being adjust by maintenance.  Fallen cans. No shrink wrap on trays, fill change.",BS1
01/23/2025 12:00:00 AM,"Finished at 6,570/6,300 cases on WO2676. Ran out of WIP RM36003, moved some staff over to ID1 to fully staff the line. Decrewed the rest.",IA1
01/23/2025 12:00:00 AM,"Finished off Paloma within the first hour. Then moved HC to RS1. Sent 1 person to help clean out DMM with Angel per request. Then had 1 Sojo lead stay and put things back into inventory and to get the lines ready for the next shift. The rest of the 5 associates , and 1 driver went to work on RS1 to finish shrink wrapping the remaining FGs of VP81001. C/O DMM to DE SOI 3-FLV VP 4X6 24PK *CARTON*",RD1
01/23/2025 12:00:00 AM,"Had machine adjustments that needed to be made every flavor. Magazine was adjusted because cartons weren't getting picked up. Infeed conveyor speed had to be decreased, and back plate adjusted. Cans were falling down and jamming up in the machine. The air pump that controls the infeed gate came undone and had to be fixed. The gate wasn't closing, and cans would just come in causing jams. Overall, there was a total of an hour and 17 minutes of downtime due to adjustments, can transfer jam. and down cans on the conveyor.",Flight - D1
01/23/2025 12:00:00 AM,"Manual-Bristol, Line staffed with BD1 crew while we were doing Configuration change over. No issues reported.",Manual - Bristol
01/23/2025 12:00:00 AM,No downtime to report.,Flight - A1
01/23/2025 12:00:00 AM,No major issues. Small adjustments made to the carton magazine to prevent double picking. This was a shorter box than normal so just needed a little tweaking.,BD1
01/23/2025 12:00:00 AM,On a plan of 315 we built 315 cases meeting goal and completing WO2794. No issues with the line. The uncasing robot was damaging the trays resulting in assigning one associate to manually build new ones for the finished WIP.,RD1
01/23/2025 12:00:00 AM,On a plan of 315 we built 315 cases meeting goal and completing WO2795. No issues with the line.,RS1
01/23/2025 12:00:00 AM,"On a plan of 8,900 we built 10,800 cases exceeding goal by 1,900 (121% to plan). Line ran smooth the entire shift aside from the palletizer arm going down several times throughout the shift and requiring reset. To mitigate, we staffed 1 associate to be near the arm the entire shift and clear issues/manually palletize if required.",RP1
01/23/2025 12:00:00 AM,Some issues with the robot arm/picking. Rob replaced the pads and had to make adjustments to increase the suction to try and reduce the amount of product being dropped.,BP1
01/24/2025 12:00:00 AM,"**All scans after 11pm showed up on 2nd shift for Saturday. Escalated to C&OPs. Actual total = 2262cs**  We pulled 1 associate from the manual line to help as 2 of the flavors for WO2667 needed dekitting.  Persistent issues with the boxes for the cantrip run. Nothing was unusable but we noticed the boxes had a ""twist"" to them. This caused them to advance incorrectly from the magazine into the picking area. Boxes would fall backwards blocking the photo eye, tricking the machine into thinking the picking area was full. This caused incorrect picking which also led to can transfer jams.  Multiple adjustments were made but no resolution. Ultimately, we attached an airline to keep a small flow air on the boxes to keep them from falling backwards. Rob, Jaqs, Melissa, and myself monitored the magazine and picking area in order to push through the work order and ensure the next run was set for the morning.  2 configuration changes, one at the start of shift, from Wynk to Cantrip, and one at the end of shift from Cantrip to Stateside.",BD1
01/24/2025 12:00:00 AM,"**All scans after 11pm showed up on 2nd shift for Saturday. Escalated to C&OPs. Actual total =10,944**  No major issues/DT for this line",BP1
01/24/2025 12:00:00 AM,"**All scans after 11pm showed up on 2nd shift for Saturday. Escalated to C&OPs. Actual total =832cs**  No issues with this line. Hand gluing the Cann Boxes that had the full flaps out of spec to run on the DMM.  Initially started with 12 associates. Pulled one to help dekit on BD1, but the lift driver hopped on the line in between lift duties.  Used the tag ""Waiting for Trays"" to account for time spent hand gluing cartons.",Manual - Bristol
01/24/2025 12:00:00 AM,21 day one associates across the board. Seven day one associates on RD1 they had trouble keeping up with de-kitting. Had issues with flaps coming out open maintenance was working on flaps issue at the same time RS went down. The flaps coming out open was due to kicker flap closing to early had to adjust timing to allow it to close later another contributing factor was the glue shot needing to be adjusted. Had issues with the de-palletizing arm. Cans would get stuck at the infeed and suction cup wouldn't hold down trays causing jams at the infeed. Had issues with cans falling over at the curve which would cause jams when it reached the horizontal loader.,RD1
01/24/2025 12:00:00 AM,"4 day one associates, had trouble de-kitting. Two associates left at lunch putting us at a HC of 16 for rest of shift. Had to stop a few times to allow associates to clean area.",RP1
01/24/2025 12:00:00 AM,"7 day one associates had trouble de-kitting and placing cans on the line. Jams on RS due to lack of back pressure. Belt got jammed and wouldn't move, once we got the belt moving the plastic film bar fell and had cases going through the oven without plastic. The belt being jammed was due to a down can stuck at bottom of belt. At 12:15 had issue with the date coder printing the lot code sloppy so had the line lead wash out the date coder.",RS1
01/24/2025 12:00:00 AM,Down time on BD1 due to the following reasons: Went jammed/went down because the Center Load Support came loose and popped out of place while running. This is what caused the crash. It’s been reinstalled and properly tightened down. We had a Flavor change over. Few times cartons getting jammed.,BD1
01/24/2025 12:00:00 AM,"Down time on BP1 due to the following reasons: Short one person at the beginning of the shift. Robot Dropped product: problem in tray staying layout and broken pad replaced, problem in the pressure line and checked. Case sealer down due to the box sizes.",BP1
01/24/2025 12:00:00 AM,"Down time on BP2 due to the following reasons: We ran 5 different WO#2866, WO#2875, WO#2871, WO#2879, WO#2881, Flavors changeovers took approximately 11 minutes per flavor. Also, case erector adjustments due to much pressure.",BP2
01/24/2025 12:00:00 AM,"Down time on Manual-Bristol due to the following reasons: Printer shutdown we had to restart. Also, this line we had to hand glue cartons.",Manual - Bristol
01/24/2025 12:00:00 AM,Had to wait for WIP to be put on the line after the first 4 pallets were completed. There wasn't a driver here from Blue chip. I got with Ron and he addressed the issue and had us a driver quick. Only waited for 5 minutes total. Had the crew clean up the area and sent them home. Cory and I did the changeover on D1.,Flight - D1
01/24/2025 12:00:00 AM,"No downtime to report.  Raven was down for 41 minutes in the afternoon, the tablet was counting but flight was giving a grey screen saying ""uncollected.""  Flight also would not let me reallocate the unknown stop time recorded right after the uncollected message.",Flight - A1
01/24/2025 12:00:00 AM,"On a plan of 4,880 we built 2,340 cases falling short by 2,540 (47% to plan). We had 9 out of 12 day one associates which required downtime at the start of shift to train. We completed WO2820 with 910 cases remaining on a plan of 2,180. We started the flavor C/O during 1st break which lasted a total of 46 minutes due to being short on drivers and clearing the line. After lunch, we experienced issues with the date coder which resulted in a lot of reworks, as a result. We had to stop the line early to complete the rework. Lastly, we experienced frequent jams throughout the shift due to the pressure of the cans pushing the railing on lane #3. Due to the date coder going down, this created 6 pallets of rework resulting in the line stopping at 8:30 PM.",RS1
01/24/2025 12:00:00 AM,"On a plan of 6,300 we built 5,586 cases falling short by 714 (88% to plan). 45 minutes of downtime due to dekitting as the majority of the team was day one associates. Minimal issues with the line.",RD1
01/24/2025 12:00:00 AM,"On a plan of 8,900 we built 9,936 cases exceeding goal by 1,036 (111% to plan). Line ran smooth with minimal issues. Palletizing robot went down several times requiring reset.",RP1
01/24/2025 12:00:00 AM,"Quality check tablet was dead at SOS so charged it and started using after 1 break. 45m DT due to machine adjustments in the beggining of the shift , machine was having jams SOS with trays jaming on conveyor and product falling on conveyor . Craig was making adjustments.  Still giving us issues from time to time but got worse at 1am when suction cup was adjusted , somehow got loose. When Mario came in he did a temporary fix/patch on the torn suction cup to hold through until replacement part comes in. He also opened up tray lane a little.  Date coder turned off on us twice on 2 seperate times . caught both on time . 6m DT due to that. Film wrap roll moved out of place causing many cases of rework due to cases not being wrapped correctly. Other issues with the SMI included the wrap area being jammed, which also caused delays due to one of the flights coming off during one of the jams. The issue with WIP were quality of cans for Strawberry flavor appeared to be contaminated/damaged beyond use of product. Team kept up well with dekitting and no incidents to report.",RS1
01/25/2025 12:00:00 AM,**Scans after 11pm show up for 2nd shift 01/26/25 Actual total = 5200cs**  No issues or DT,BD1
01/25/2025 12:00:00 AM,"Down time on BD1 due to the following reasons: We started 18 minutes late because adjustments were made to the line at the start of the shift, due to a product change. During the line adjustment, cans were damaged while the mechanics were calibrating all the parameters. Adjustments were made to the date coder for the trays  The objective was successfully achieved!",BD1
01/27/2025 12:00:00 AM,"66% UPTIME with 1,240 Units over target .  Started line at 10:33 due to glue unit warming up about 20m DT. Stopped a few times to dekit leading to 27m  DT. Orange Zoa and Pinapple Coconut kept getting stuck on the lane that the two conveyors meet about 19m DT . Angel adjusted lanes and fixed issue. Few jams here and there with jams in wrap area where product would jam on the flights. We just cleared jam and phase recovey . At the last 20m we kept getting jams due to lack of back pressure , trying to get the last 30 casees through. Finished last pallet at about 4:15am , sent the team to RD1 to dekit.",RS1
01/27/2025 12:00:00 AM,"At SOS had to water down kickers inside the case erector they were having issues due to sugar accumulation. Returning from first break had issues with cans falling over and creating jams. This is due to sticky belt, that would grip cans and as they hit the sidewall it would cause them to fall. Maintenace would spray belt with warm water as it ran another contributing factor was belt speed.  Had an issue with cans exploding inside the machine this was due to back pressure. Had a minor issue with tray kicker getting stuck this was due to sensor needing to be adjusted.",RD1
01/27/2025 12:00:00 AM,"BS1 (PP2) experienced downtime due to the following reasons: WE STARTED 5 MINUTES LATE DUE TO OVEN WARMING THE FILM GOT STUCK IN THE WRAPPING AREA, THE PROBLEM WAS QUICKLY FIXED  THE TARGET WAS SUCCESSFULLY COMPLETED VP84020-CANTRIP 10MG SODA 4-FLV 3X8 24 PK *SHRINK* VP84019-CANTRIP 5MG SELTZER 4-FLV 2X12 24 PK *SHRINK* VP80022-WYNK 12OZ UNIVERSAL SINGLE SERVE 4-FLV 2X12 24 PK *SHRINK*",BS1
01/27/2025 12:00:00 AM,"Down time on BD1 due to the following reasons:  There were minimal problems caused by the associates, such as cans dropped on the line and the arm damaged cans inside the line Printer shutdown we had to restart The objective was ultimately accomplished successfully.",BD1
01/27/2025 12:00:00 AM,"Down time on Manual-Bristol due to the following reasons:  This line we had to hand glue cartons Also, we had 8 people for the line",Manual - Bristol
01/27/2025 12:00:00 AM,No downtime to report.,Flight - A1
01/27/2025 12:00:00 AM,"On a plan of 1,560 we built 1,560 cases meeting goal. We had a lot of issues with the line resulting in us working this line for the remainder of the shift. The issues were: the lanes opening causing some lanes to stop due to the back pressure of the cans. We also experienced issues with the tray former and the shrink wrap.",RS1
01/27/2025 12:00:00 AM,"On a plan of 6,300 we built 6,321 cases meeting goal. We experienced issues with the line, specifically the WIP tray conveyor as well as the horizontal loader. We also pivoted RP1 after lunch to continue running the line to stay on target.",RD1
01/27/2025 12:00:00 AM,"On a plan of 6,500 we build 6,768 cases exceeding goal by 268 (104% to plan). We encountered no issues with the line. Production stopped after lunch to cover RD1 while at lunch then pivot to RS1. We staffed a skeleton crew after lunch to complete remaining pallets to meet goal.",RP1
01/27/2025 12:00:00 AM,"Output conveyors locked up at one point, preventing cases from transitioning from the machine to the discharge conveyor. Most likely cardboard and glue buildup. Rob was able to manually move the conveyors to dislodge the blockage and return to normal operation. 5min DT --------------------------------------------------------------- 1st date coder, (Stateside uses two, one for the cases and one for the tray), was bumped unintentionally resulting in roughly 90-120 8pk cartons (30-40 FG cases) not being properly printed. This was from the person running the trays from the infeed to the discharge for reuse. Crew was spoken to and will continue to bring up the importance of calling out instances where something is shifted as well as reminding the lead and any associates positioned in such a way, to keep an eye out at all times. Also spoke with Jeffrey as part of a larger project of streamlining and fine tuning the training process.  All cases produced up until that time were sorted through and run past the date coder. 6min DT to identify the issue. --------------------------------------------------------------- Between 415 and 430pm the driver for this line brought over a total of 5 pallets to the line that were never production staged and were not the correct RM. This was shortly after Mike Peart had just checked all staged LPs so the issue was not immediately caught until another driver tried to assembly build and received the error that there wasn't enough of one of the items at the line.  While Dan and I were investigating the pallets (They were the right flavor but under a different RM meant for 12pks not 8pks), Melissa questioned the driver about the discrepancy between what was physically at the line and virtually staged.  Despite being given the BIN location at start of shift, the driver started pulling from a different BIN and neglected to mention to anyone that the product wouldn't scan to the work order.  Pallets that were produced after 415pm were broken down and sorted to remove any trays that indicated a 12pk. All pallets prior to that time were also inspected. Roughly 50cs/trays across 4 pallets were corrected and all RM meant for 12pks were removed and put away.  All drivers were spoken to about the importance of communicating any scanning issues immediately. This is also brought up on almost every pre-shift meeting. Driver will no longer be welcome to return. 60min to sort through affected pallets and reassemble 3x8 cases before normal production could resume.",BD1
01/27/2025 12:00:00 AM,Scheduled headcount was short for WO2903. Ran line with 13 and finished WO2903 7900/5400 cases on schedule for today. Decrewed at 2:35,ID1
01/27/2025 12:00:00 AM,This line started @5:15pm once the WO was complete on the manual line for hand gluing cartons.  M3 Switch (power for the infeed conveyor) was turned off causing the belt to stop. Rob was able to identify the issue after a couple of minutes but then had to reset the HMI as it froze up.  Will investigate with Dan tomorrow when we can check the cameras to determine exactly how this happened as the switch isn't located where there would be any associate traffic.,BP1
01/27/2025 12:00:00 AM,"Used HC on RP to dekitt RD while they went to break. Had issues with case erector, cases would fall and cause jams. Had to adjust arm height to allow cases to open.",RP1
01/27/2025 12:00:00 AM,"VP13025: SPINDRIFT 3-FLV 30 PK *NEW COSTCO PATTERN*  The operational performance of BP2 has been significantly hindered throughout the day due to the following issues: 1.The Erector Case was down because some boxes were stuck together 2.The palletizing robot stopped abruptly, so it had to be started again 3.the mechanic adjusted a sensor on the conveyor Despite the challenges we faced, the target was achieved.",BP2
01/27/2025 12:00:00 AM,We lost one of the drivers for this line a few hours into the shift due to feeling unwell. Wally and Karla hopped in to help out throughout the rest of the night though we did fall behind on scans. 9 pallets (720cs) were scanned after 11pm and ended up on third shift.  Minor issues with case erector. MFG lot info was saved to add to escalation.,BP2
01/28/2025 12:00:00 AM,"10 minute delayed start due to date coder issues.  Cleaned the printer head and was good to go.  1 hour downtime after lunch to load up the TF to ship out to Indy (truck showed up about halfway through lunchbreak - Cory and I began the process as soon as the truck arrived).  Line was shut down because we needed to utilize the forklift and clear a path through the production line to get the TF through to the dock door.  Crew pre-mixed cases while the line was down.  Once the TF was through to the dock, we were able to utilize one of Acme's forklifts to move pallet risers and product back to the line and start the line up while Cory and I maneuvered the TF onto the truck.",Flight - A1
01/28/2025 12:00:00 AM,"56% UPTIME with 3h and 20m Producing time . @ SOS We were short 2 people for the first hour then contacted lyneer onsite for backups and he got me 4 extras .About 2h and 9m DT due to dekitting 43m DT due to changeover at SOS 5m DT for adjustments after C/O  . We were having issues with the cans falling due to no back pressure , team was trying to keep up with the dekitting to avoid that issue. The Pneumatic Separator was also giving us issues due to low back pressure.",RS1
01/28/2025 12:00:00 AM,"After the flavor change, date coder wouldn't print after setup new format, the mechanic team power cycle and clean printer head and that didn't resolve the issue. mechanic. have to force a fault before the printer to print.",BD1
01/28/2025 12:00:00 AM,"BP2 encountered downtime for the following reasons:  1. The case erector was feeding two cases simultaneously into the transfer process, resulting in box jamming. Rafael made adjustments to enhance the operation. 2. The case sealer faced interruptions due to cases getting jammed.  The target was successfully achieved.",BP2
01/28/2025 12:00:00 AM,Came in under HC ran lean with 14 associates. Got three day one associates at 9am. Took the time to train them on de-kitting. Had to stop and go due to newer associates not being able to keep up.,RP1
01/28/2025 12:00:00 AM,"Down time on BD1 due to the following reasons: Ran with no major issues, just at beginning of shift re-training for some new associates. Ran above goal 109%.",BD1
01/28/2025 12:00:00 AM,"Had 10 on the line starting at 9am, 4 additional people were from yesterday breaking the boxes to run more smoothly. Decrewed 7 people at 9am to mitigate the loss of productivity, due to rigid cases halting the machine/case quality issues. Email sent including details (thinner boxes needed to maximize productivity on these runs - St. james)",IP1
01/28/2025 12:00:00 AM,"Had issues with cans falling over when they hit the sidewall. At SOS flaps weren't gluing properly had to adjust glue placement. Right before lunch had issues with the tray getting stuck, this was due to a faulty sensor.",RD1
01/28/2025 12:00:00 AM,Most downtime was due to de-kitting. Had two day one SOJO employees. Trained them on the de-kitting process. Used three extra HC for last hour of shift to help with de-kitting and trash.,RS1
01/28/2025 12:00:00 AM,No issue,BP1
01/28/2025 12:00:00 AM,"On a plan of 3,600 we built 4,320 cases exceeding goal by 720 (120% to plan). We staffed the line to 14 then pulled one associate from RP1 to add an additional dekitter. We had issues with the pneumatic separator throughout the shift causing jams and resulting in a downtime of 40 minutes. We also experienced issues with the tray former jamming as well as cans falling over on the conveyor requiring one associate to check the lanes during the shift.",RS1
01/28/2025 12:00:00 AM,"On a plan of 8,900 we built 10,224 cases exceeding goal by 1,324 (114% to plan). Line ran smoothly with minimal issues. We pivoted the team to dekit in RS1 during last break due to being ahead. We experienced issues with the robotic palletizer requiring resets.",RP1
01/28/2025 12:00:00 AM,"The operation began smoothly on BP1.   However, A broken flap was replaced and at 1:50, we encountered problems with the robot dropping products due to a worn pad, which was subsequently replaced. Additionally, the SV4 clamp stop sensor was damaged due to repeated collisions, resulting in the sensor failing to detect boxes. This necessitated the replacement of the broken sensor and a reset of the sensor sequence.  During the downtime, staff were reassigned to assist on another line.",BP1
01/28/2025 12:00:00 AM,"There were some transfers jam issues on BD1 caused by cans bouncing out of the carton, which led to jamming during the transfer process. Additionally, there were several instances of carton mis-picks throughout the day.    The downtime was primarily attributed to the cleaning process following the jams.    Overall, the run proceeded smoothly.",BD1
01/28/2025 12:00:00 AM,"We had a new forklift driver today, which causes some of the delay bringing product to the line .",BP2
01/28/2025 12:00:00 AM,shift stared at TD1 due to machine issues team was moved down to temple-manual . unable to track time due to raven not working.,Temple - Manual
01/29/2025 12:00:00 AM,"At SOS had 20 min of downtime due to there not being WIP, we went through what was on the line and had to wait for the trailer to arrive. Had HC dekit on RD1 and kept them busy until the WIP arrived on the line. Had issues with the glue shot, glue was exceeding the flap on the trays. Had maintenece do adjustments on the glue placeement and had better results. Throughout the day had to stop the line to dekit.",RS1
01/29/2025 12:00:00 AM,"Down time on BD1 due to the following reasons: First WO#2930, magazine adjustments, rest of lot ran with no other major issues.  Second WO#2793, We did a configuration change over, Magazine adjustments, adjustment in glue shot, Adjustments Flights, A lot of stoppage cartons sliding down, busted cans, printer stop working last 20 min of shift, and incomplete cartons. Target 99%",BD1
01/29/2025 12:00:00 AM,"Good run, BD1 presented issues due to the following issues:  1. Pack quality: The carton flaps were excessively glued, causing overflow. modifications were implemented in the shooting process. 2. There were multiple occurrences of can jamming throughout the day. 3. The date coding machine unexpectedly ceased printing, necessitating a restart.  Target was met overall.",BD1
01/29/2025 12:00:00 AM,"Good run, target was achieved. No major issues presented.",BP1
01/29/2025 12:00:00 AM,HC for BP1 ran this line until all WIP was consumed @630pm,BS1
01/29/2025 12:00:00 AM,No downtime to report.,Flight - A1
01/29/2025 12:00:00 AM,"On a plan of 1,000 we built 832 cases falling short by 168 (83% to plan). We experienced a significant number of jams on the horizontal loader at the start of shift causing a total downtime of 57 minutes throughout the shift. Maintenance made adjustments and cleaned the internal of the machine which allowed it to run much better. We adjusted the machine from 20 CPM to 30 CPM and did not experience jams quite as often. Towards the end of shift, a QC check revealed bad print code quality on the majority of the cans from two pallets with a lot of code of A153610125 and BB date of: 01/25/2026, this resulted in a total downtime of 20 minutes.",RD1
01/29/2025 12:00:00 AM,"On a plan of 3,600 we built 4,140 cases exceeding goal by 540 (115% to plan). We staffed the line with 15 associates from the start of shift. 1 hour and 22 minutes was spent on dekitting, and 36 minutes of downtime due to jams from the pneumatic separator.",RS1
01/29/2025 12:00:00 AM,Scrap report -IA80300 TD1 we had some machine issues this morning due to case sealer not working right maintenance was on top of it was able to get it working and than we stared having issues with cardon boxes.  unable to keep track of down time due to raven not working .,TD1
01/29/2025 12:00:00 AM,"Team did a better job at keeping up with dekitting than yesterday , 60% UPTIME with 540 units over target.  Had to dekit in the beggining of shift due to no product on line. Kept having issues with pneumatic separator jamming on cans , seen that the lanes on the left side by HMI were a little too tight , escalated to Angel and he adjusted lanes , no more issues with pneumatic separator after except for 2 or 3 times , not sure what the cause of that was. 9m DT due to that.Few to little issues with wrap area faulting due to extra cardboard coming out , cleaned sensor and it ran smoothly after.2m DT. Another 2 min DT adjusting wrap because operator forgot to put air to hold wrap in place. Sent 1 associate home at lunch . Stopped at 5am and sent half team home , and prepared 1st shift with 3 pallets remaining of product.",RS1
01/29/2025 12:00:00 AM,"The desired run target was successfully met.  BS1 experienced downtime due to the following issues:  1. A 32-minute halt occurred to dekkit WIP, ensuring that WIP was prepared while visitors were present on the floor. 2. Adjustments were made to the suction cups, which were mis-picking trays, resulting in improved functionality. 3.film change",BS1
01/29/2025 12:00:00 AM,"The execution of BP2 Guru work orders was successful.  The downtime was attributed to the following factors:  1. The case sealer experienced issues as boxes were jamming due to excessive tightness. 2. A flavor changeover was conducted.  At 1:20, staff members were dismissed for the day.",BP2
01/29/2025 12:00:00 AM,"The line started at 5:30 PM after configuration C/O. This was a first run for stateside 12-packs and needed approx. 20 minutes of adjustments. For the C/O and initial adjustments, associates ran Poppi 6x4 on Manual line.  Initially cases would not load properly into the cartons due to the minor trailing flap tucker bending the box rather than closing the flap. Rob ended up adjusting the timing for the flap tucker to close as the cans were loaded rather than before. He also adjusted the spacing of the flights to not be so tight and widened the table a bit.   Along with some other minor adjustments, the issues were resolved, and the line ran consistently for the rest of the shift.",BD1
01/29/2025 12:00:00 AM,"We made 2400 cs. 120% to Sch. Once you count 2nd shift production.  same feedback as yesterday, we setup 2 people gluing to make the boxes, 2 people gluing at the exit of the codedater. this gave us cover for issues with box maker and gluing the top flaps that we saw yesterday.",IP1
01/29/2025 12:00:00 AM,line started at 6:30 pm after finishing wo 2824 on bs1. No major issue or down time.,BP1
01/30/2025 12:00:00 AM,"At SOS had issues with the cases coming out deformed from the case erector, made adjustments to the height on the case erector and saw minor improvements on the cases being produced. Had maintenance do more adjustments to the case erector, at 7:42 AM we noticed that the sprocket driving the chain had play causing the cases to come out crooked. Sent HC to break early while the case erector was getting adjusted. At 8:49am had the case sealer leaving some cases open, had maintenance do clean out the glue shot which caused 14 min of downtime. Stopped the line at 1:00 since we found out that an associate putting cans cut her finger and contaminated multiple cases. Damaged out all the cases/ cans that potentially were contaminated with blood. Total cases found with blood was 30 but RPD directed to scrap 131 cases to prevent customer exposure Zendesk ticket submitted. Not foreseeing this as a reoccurring issue no addition action items needed.",RP1
01/30/2025 12:00:00 AM,"Began the day finishing off the last of the Coke run, and changed over to Waterloo at 8:30am.  Increased headcount for Waterloo proved to be a bit of a struggle today as we had a lot of new associates.  New associates seemed to get the hang of things by the end of the day.  15 minutes for changeover in the morning as well as a 8 minute delay right before lunch due to a break in the splice during a film roll change.",Flight - A1
01/30/2025 12:00:00 AM,"Down time on BD1 due to the following reasons: Fallen product, Carton flap open, cartons incomplete At 0400 line went due to Tucker head on ops side was not actuating fast enough, opened up the flow control a little bit, all resolved by my mechanic. Notation: There are 624 cases produced 2300 to 12AM is not adding on 3rd shift. Shift Production 5,512 Goal Target were 5,850 we ran 94% Uptime 93%",BD1
01/30/2025 12:00:00 AM,"Fantastic run with 2 changeovers (41 min DT) and still ran 91.4% Sch. Attainment yet only ran 6.5 hours today (crewed down at 1:30pm). I added 1 HC because we need 4 dekitters (who can do trash on their own) vs. 2 dekitters and 1 trash (per SOP).  I have demonstrated why 11 HC +1 FL gives us a higher throughput and lower RPC. We ran out of boxes so we couldn't finish the sch. cases, but we crewed down at 1:30pm so 6.5 hours worked per person. That resulted in Actual RPC being $0.20 vs. Sch $0.21 RPC.",ID1
01/30/2025 12:00:00 AM,Great run no major issues presented.,BP1
01/30/2025 12:00:00 AM,"Had 15HC Until a little after lunch time . Eman came back to help us do trash . He was helping Victor SOS. 59% UPTIME.  540 Units over target. 7m DT at 10:32 due to HMI screen frozen , Angel had to restart whole HMI screen. Had a few issues with pneumatic separator would crash on the cans due to a lane becoming low in product. Had to stop line to catch up to dekit to avoid separator crashing on cans. 16m DT due to that. At about 5:36am We had one of the flights come off , then a film jam . Had to wait for Maintance to come back from break . Sent half team home , only kept 2 poeple to clean and 4 people to dekit .",RS1
01/30/2025 12:00:00 AM,"Missed target by two pallets due to the following issues:  Back up on discharge conveyor led to some of the cartons missed the printed date code, cartons were reworked.  1.The backup on the discharge conveyor resulted in several cartons missing the printed date code, necessitating rework on those cartons.  2.Adjustments to the machine were performed to address jamming issues during can transfer, which were caused by the presence of an additional can in the cartons.",BD1
01/30/2025 12:00:00 AM,"On a plan of 3,600 we built 4,500 cases exceeding goal by 900 (125% to plan). We staffed the line with 15 associates from the start of shift. 1 hour and 47 minutes was spent on dekitting.",RS1
01/30/2025 12:00:00 AM,On a plan of 872 we built 936 cases exceeding goal by 64 (107% to plan). We only had enough WIP to produce936 cases without starting a partial pallet. Line ran good until lunch. After lunch we saw consistent jams on the horizontal loader as well as on the conveyor resulting in a downtime of 67 minutes. Maintenance had to stop the line to clean the loader and the conveyor due to the stickiness of the product.,RD1
